Player,Team,Type,M,Inn,B,Runs,Wkts,BBI,BBM,Econ,Avg,SR,5W,10W
Jofra Archer,England,Test,11,21,2398,1182,38,Jun-45,Aug-85,2.96,31.11,63.11,3,0
Olly Stone,England,Test,1,1,72,29,3,Mar-29,Mar-29,2.42,9.67,24,0,0
Reece Topley,England,Test,0,0,0,0,0,0,0,0,0,0,0,0
Chris Jordan,England,Test,8,16,1530,752,21,Apr-18,Jul-50,2.95,35.81,72.86,0,0
Darren Bravo,West-Indies,Test,56,1,6,2,0,0/2,0/2,2,0,0,0,0
Chris Gayle,West-Indies,Test,103,104,7109,3120,73,May-34,Jun-81,2.63,42.74,97.38,2,0
Evin Lewis,West-Indies,Test,0,0,0,0,0,0,0,0,0,0,0,0
Shimron Hetmyer,West-Indies,Test,16,0,0,0,0,0,0,0,0,0,0,0
Fabian Allen,West-Indies,Test,0,0,0,0,0,0,0,0,0,0,0,0
Jason Holder,West-Indies,Test,45,77,7560,3242,116,Jun-42,11/103,2.57,27.95,65.17,7,1
Andre Russell,West-Indies,Test,1,2,138,104,1,Jan-73,1/104,4.52,104,138,0,0
Carlos Brathwaite,West-Indies,Test,3,4,408,242,1,Jan-30,1/139,3.56,242,408,0,0
Shai Hope,West-Indies,Test,34,0,0,0,0,0,0,0,0,0,0,0
Nicholas Pooran,West-Indies,Test,0,0,0,0,0,0,0,0,0,0,0,0
Shannon Gabriel,West-Indies,Test,50,86,8129,4612,150,Aug-62,13/121,3.4,30.75,54.19,6,1
Kemar Roach,West-Indies,Test,60,107,10900,5644,204,Jun-48,10/146,3.11,27.67,53.43,9,1
Ashley Nurse,West-Indies,Test,0,0,0,0,0,0,0,0,0,0,0,0
Oshane Thomas,West-Indies,Test,0,0,0,0,0,0,0,0,0,0,0,0
Faf du Plessis,South-Africa,Test,67,5,78,69,0,0/1,0/1,5.31,0,0,0,0
David Miller,South-Africa,Test,0,0,0,0,0,0,0,0,0,0,0,0
Aiden Markram,South-Africa,Test,22,10,182,93,0,0/0,0/2,3.07,0,0,0,0
Rassie van der Dussen,South-Africa,Test,6,0,0,0,0,0,0,0,0,0,0,0
Jean-Paul Duminy,South-Africa,Test,46,57,2703,1601,42,Apr-47,Apr-51,3.55,38.12,64.36,0,0
Andile Phehlukwayo,South-Africa,Test,4,8,250,147,11,Mar-13,May-25,3.53,13.36,22.73,0,0
Dwaine Pretorius,South-Africa,Test,3,6,480,252,7,Feb-26,Mar-82,3.15,36,68.57,0,0
Chris Morris,South-Africa,Test,4,8,623,459,12,Mar-38,May-45,4.42,38.25,51.92,0,0
Quinton de Kock,South-Africa,Test,49,0,0,0,0,0,0,0,0,0,0,0
Imran Tahir,South-Africa,Test,20,37,3925,2294,57,May-32,8/130,3.51,40.25,68.86,2,0
Kagiso Rabada,South-Africa,Test,43,78,8011,4522,197,7/112,13/144,3.39,22.95,40.66,9,4
Lungi Ngidi,South-Africa,Test,7,13,1063,566,22,Jun-39,Jul-90,3.19,25.73,48.32,1,0
Tabraiz Shamsi,South-Africa,Test,2,4,483,278,6,Mar-91,4/128,3.45,46.33,80.5,0,0
Beuran Hendricks,South-Africa,Test,1,2,231,175,6,May-64,6/175,4.55,29.17,38.5,1,0
Craig Ervine,Zimbabwe,Test,18,0,0,0,0,0,0,0,0,0,0,0
Hamilton Masakadza,Zimbabwe,Test,38,25,1164,489,16,Mar-24,Mar-24,2.52,30.56,72.75,0,0
Sikandar Raza,Zimbabwe,Test,15,22,2429,1338,32,7/113,8/176,3.31,41.81,75.91,2,0
Sean Williams,Zimbabwe,Test,12,18,1773,925,19,Mar-20,6/111,3.13,48.68,93.32,0,0
Solomon Mire,Zimbabwe,Test,2,3,84,32,1,Jan-22,Jan-27,2.29,32,84,0,0
Brian Chari,Zimbabwe,Test,7,2,18,12,0,0/3,0/3,4,0,0,0,0
Timycen Maruma,Zimbabwe,Test,3,0,0,0,0,0,0,0,0,0,0,0
Elton Chigumbura,Zimbabwe,Test,14,22,1806,966,21,May-54,6/133,3.21,46,86,1,0
Regis Chakabva,Zimbabwe,Test,17,0,0,0,0,0,0,0,0,0,0,0
Brendan Taylor,Zimbabwe,Test,31,4,42,38,0,0/6,0/6,5.43,0,0,0,0
Peter Moor,Zimbabwe,Test,8,0,0,0,0,0,0,0,0,0,0,0
Tendai Chatara,Zimbabwe,Test,8,14,1569,596,21,May-61,6/106,2.28,28.38,74.71,1,0
Donald Tiripano,Zimbabwe,Test,10,16,1864,837,16,Mar-91,4/105,2.69,52.31,116.5,0,0
Chris Mpofu,Zimbabwe,Test,15,23,2489,1392,29,Apr-92,5/123,3.36,48,85.83,0,0
